"idSwarm","id","cpuPercentage","algorithm","req","runtime"
"pc4","rpi-1cpu",0.1,"stine",1,65.51
"pc4","rpi-1cpu",0.1,"stine",1,61.16
"pc4","rpi-1cpu",0.1,"stine",1,61.68
"pc4","rpi-1cpu",0.1,"stine",1,61.98
"pc4","rpi-1cpu",0.1,"stine",1,62.08
"pc4","rpi-1cpu",0.1,"stine",1,61.87
"pc4","rpi-1cpu",0.1,"stine",1,61.77
"pc4","rpi-1cpu",0.1,"stine",1,61.77
"pc4","rpi-1cpu",0.1,"stine",1,61.87
"pc4","rpi-1cpu",0.1,"stine",1,61.98
"pc4","rpi-1cpu",0.1,"stine",1,61.59
"pc4","rpi-1cpu",0.1,"stine",1,61.78
"pc4","rpi-1cpu",0.1,"stine",1,61.78
"pc4","rpi-1cpu",0.1,"stine",1,61.88
"pc4","rpi-1cpu",0.1,"stine",1,61.77
"pc4","rpi-1cpu",0.1,"stine",1,61.67
"pc4","rpi-1cpu",0.1,"stine",1,61.68
"pc4","rpi-1cpu",0.1,"stine",1,61.58
"pc4","rpi-1cpu",0.1,"stine",1,61.68
"pc4","rpi-1cpu",0.1,"stine",1,61.68
"pc4","rpi-1cpu",0.1,"stine",1,61.29
"pc4","rpi-1cpu",0.1,"stine",1,61.37
"pc4","rpi-1cpu",0.1,"stine",1,61.27
"pc4","rpi-1cpu",0.1,"stine",1,61.38
"pc4","rpi-1cpu",0.1,"stine",1,60.97
"pc4","rpi-1cpu",0.1,"stine",1,61.67
"pc4","rpi-1cpu",0.1,"stine",1,60.78
"pc4","rpi-1cpu",0.1,"stine",1,60.86
"pc4","rpi-1cpu",0.1,"stine",1,60.57
"pc4","rpi-1cpu",0.1,"stine",1,60.44
"pc4","rpi-1cpu",0.1,"locf",1,59.87
"pc4","rpi-1cpu",0.1,"locf",1,60.27
"pc4","rpi-1cpu",0.1,"locf",1,60.07
"pc4","rpi-1cpu",0.1,"locf",1,59.69
"pc4","rpi-1cpu",0.1,"locf",1,60.18
"pc4","rpi-1cpu",0.1,"locf",1,59.87
"pc4","rpi-1cpu",0.1,"locf",1,59.98
"pc4","rpi-1cpu",0.1,"locf",1,60.07
"pc4","rpi-1cpu",0.1,"locf",1,59.68
"pc4","rpi-1cpu",0.1,"locf",1,59.78
"pc4","rpi-1cpu",0.1,"locf",1,59.87
"pc4","rpi-1cpu",0.1,"locf",1,59.89
"pc4","rpi-1cpu",0.1,"locf",1,59.97
"pc4","rpi-1cpu",0.1,"locf",1,59.98
"pc4","rpi-1cpu",0.1,"locf",1,60.28
"pc4","rpi-1cpu",0.1,"locf",1,60.57
"pc4","rpi-1cpu",0.1,"locf",1,59.97
"pc4","rpi-1cpu",0.1,"locf",1,60.98
"pc4","rpi-1cpu",0.1,"locf",1,60.97
"pc4","rpi-1cpu",0.1,"locf",1,61.08
"pc4","rpi-1cpu",0.1,"locf",1,61.17
"pc4","rpi-1cpu",0.1,"locf",1,61.28
"pc4","rpi-1cpu",0.1,"locf",1,61.18
"pc4","rpi-1cpu",0.1,"locf",1,60.98
"pc4","rpi-1cpu",0.1,"locf",1,61.19
"pc4","rpi-1cpu",0.1,"locf",1,60.8
"pc4","rpi-1cpu",0.1,"locf",1,61.05
"pc4","rpi-1cpu",0.1,"locf",1,61.09
"pc4","rpi-1cpu",0.1,"locf",1,61.07
"pc4","rpi-1cpu",0.1,"locf",1,61.58
"pc4","rpi-1cpu",0.1,"ssa",1,109.47
"pc4","rpi-1cpu",0.1,"ssa",1,99.47
"pc4","rpi-1cpu",0.1,"ssa",1,107.89
"pc4","rpi-1cpu",0.1,"ssa",1,99.49
"pc4","rpi-1cpu",0.1,"ssa",1,108.47
"pc4","rpi-1cpu",0.1,"ssa",1,102.87
"pc4","rpi-1cpu",0.1,"ssa",1,108.27
"pc4","rpi-1cpu",0.1,"ssa",1,99.77
"pc4","rpi-1cpu",0.1,"ssa",1,108.38
"pc4","rpi-1cpu",0.1,"ssa",1,99.68
"pc4","rpi-1cpu",0.1,"ssa",1,107.27
"pc4","rpi-1cpu",0.1,"ssa",1,98.77
"pc4","rpi-1cpu",0.1,"ssa",1,107.49
"pc4","rpi-1cpu",0.1,"ssa",1,98.57
"pc4","rpi-1cpu",0.1,"ssa",1,106.97
"pc4","rpi-1cpu",0.1,"ssa",1,102.07
"pc4","rpi-1cpu",0.1,"ssa",1,107.18
"pc4","rpi-1cpu",0.1,"ssa",1,98.68
"pc4","rpi-1cpu",0.1,"ssa",1,106.97
"pc4","rpi-1cpu",0.1,"ssa",1,101.77
"pc4","rpi-1cpu",0.1,"ssa",1,107.58
"pc4","rpi-1cpu",0.1,"ssa",1,102.19
"pc4","rpi-1cpu",0.1,"ssa",1,107.77
"pc4","rpi-1cpu",0.1,"ssa",1,102.78
"pc4","rpi-1cpu",0.1,"ssa",1,107.48
"pc4","rpi-1cpu",0.1,"ssa",1,102.16
"pc4","rpi-1cpu",0.1,"ssa",1,107.38
"pc4","rpi-1cpu",0.1,"ssa",1,102.16
"pc4","rpi-1cpu",0.1,"ssa",1,107.86
"pc4","rpi-1cpu",0.1,"ssa",1,102.07
"pc4","rpi-1cpu",0.1,"seadec",1,65.38
"pc4","rpi-1cpu",0.1,"seadec",1,65.59
"pc4","rpi-1cpu",0.1,"seadec",1,65.38
"pc4","rpi-1cpu",0.1,"seadec",1,65.68
"pc4","rpi-1cpu",0.1,"seadec",1,65.58
"pc4","rpi-1cpu",0.1,"seadec",1,65.59
"pc4","rpi-1cpu",0.1,"seadec",1,65.87
"pc4","rpi-1cpu",0.1,"seadec",1,65.37
"pc4","rpi-1cpu",0.1,"seadec",1,65.67
"pc4","rpi-1cpu",0.1,"seadec",1,65.58
"pc4","rpi-1cpu",0.1,"seadec",1,65.18
"pc4","rpi-1cpu",0.1,"seadec",1,65.17
"pc4","rpi-1cpu",0.1,"seadec",1,65.27
"pc4","rpi-1cpu",0.1,"seadec",1,65.28
"pc4","rpi-1cpu",0.1,"seadec",1,65.07
"pc4","rpi-1cpu",0.1,"seadec",1,65.28
"pc4","rpi-1cpu",0.1,"seadec",1,64.97
"pc4","rpi-1cpu",0.1,"seadec",1,65.18
"pc4","rpi-1cpu",0.1,"seadec",1,65.28
"pc4","rpi-1cpu",0.1,"seadec",1,64.97
"pc4","rpi-1cpu",0.1,"seadec",1,65.08
"pc4","rpi-1cpu",0.1,"seadec",1,65.27
"pc4","rpi-1cpu",0.1,"seadec",1,64.87
"pc4","rpi-1cpu",0.1,"seadec",1,65.63
"pc4","rpi-1cpu",0.1,"seadec",1,64.5
"pc4","rpi-1cpu",0.1,"seadec",1,64.57
"pc4","rpi-1cpu",0.1,"seadec",1,64.66
"pc4","rpi-1cpu",0.1,"seadec",1,64.98
"pc4","rpi-1cpu",0.1,"seadec",1,64.57
"pc4","rpi-1cpu",0.1,"seadec",1,64.77
"pc4","rpi-1cpu",0.1,"SMA",1,94.28
"pc4","rpi-1cpu",0.1,"SMA",1,94.07
"pc4","rpi-1cpu",0.1,"SMA",1,94.08
"pc4","rpi-1cpu",0.1,"SMA",1,93.88
"pc4","rpi-1cpu",0.1,"SMA",1,93.28
"pc4","rpi-1cpu",0.1,"SMA",1,93.28
"pc4","rpi-1cpu",0.1,"SMA",1,93.98
