"","date","symbol","name","open","close","low","high","volume"
"1",2015-01-02,"ANTM","Anthem Inc.",126.650002,125.459999,124.400002,127.730003,1181600
"2",2015-01-02,"BEN","Franklin Resources",55.849998,55.490002,54.950001,55.91,1220300
"3",2015-01-02,"BLK","BlackRock",357.980011,356.730011,352.440002,359.890015,367000
"4",2015-01-02,"COL","Rockwell Collins",84.82,84.620003,83.82,84.910004,458200
"5",2015-01-02,"CTAS","Cintas Corporation",78.910004,78.449997,77.57,79.099998,455500
"6",2015-01-02,"FFIV","F5 Networks",131.720001,130.330002,128.440002,132.399994,496300
"7",2015-01-02,"FOX","Twenty-First Century Fox Class B",36.98,36.52,36.299999,37.16,1890200
"8",2015-01-02,"GPS","Gap (The)",42.369999,42.099998,41.82,42.5,3060400
"9",2015-01-02,"HP","Helmerich & Payne",67.019997,67.339996,65.989998,68.260002,1312500
"10",2015-01-02,"HPQ","HP Inc.",40.059999,40.239998,39.58,40.479997,21604400
"11",2015-01-02,"MKC","McCormick & Co.",74.519997,73.949997,73.300003,74.980003,463200
"12",2015-01-02,"NFX","Newfield Exploration Co",26.84,26.6,26.120001,27.43,4058800
"13",2015-01-02,"ORLY","O'Reilly Automotive",192.860001,192.110001,190.710007,195.029999,837800
"14",2015-01-02,"ROP","Roper Industries",156.660004,156.619995,154.320007,157.309998,254600
"15",2015-01-02,"SBUX","Starbucks Corp.",82.129997,81.440002,80.889999,82.980003,6886000
"16",2015-01-02,"SNA","Snap-On Inc.",136.850006,136.289993,134.820007,137.690002,219300
"17",2015-01-02,"TDG","TransDigm Group",196.759995,197.75,195.210007,198.479996,360800
"18",2015-01-02,"WDC","Western Digital",111.800003,110.43,109.260002,111.919998,966400
"19",2015-01-05,"ANTM","Anthem Inc.",124.300003,123.260002,122.860001,125.459999,1550000
"20",2015-01-05,"BEN","Franklin Resources",54.919998,53.650002,53.470001,55.18,2452500
"21",2015-01-05,"BLK","BlackRock",353.23999,347.5,346.600006,354.269989,465900
"22",2015-01-05,"COL","Rockwell Collins",84.25,83.879997,83.510002,85.019997,746300
"23",2015-01-05,"CTAS","Cintas Corporation",78.150002,77.019997,76.849998,78.449997,810800
"24",2015-01-05,"FFIV","F5 Networks",132.190002,129.759995,128.970001,132.990005,1355100
"25",2015-01-05,"FOX","Twenty-First Century Fox Class B",36.5,35.77,35.700001,36.5,1849800
"26",2015-01-05,"GPS","Gap (The)",42.450001,42.150002,41.900002,42.66,4215200
"27",2015-01-05,"HP","Helmerich & Payne",66.010002,65.480003,64.5,66.199997,1995000
"28",2015-01-05,"HPQ","HP Inc.",39.799999,39.57,39.269999,40.089999,23850900
"29",2015-01-05,"MKC","McCormick & Co.",73.699997,72.699997,72.599998,73.93,672600
"30",2015-01-05,"NFX","Newfield Exploration Co",25.940001,24.9,24.530001,26.129999,4016100
"31",2015-01-05,"ORLY","O'Reilly Automotive",191.509995,188.720001,188.539993,192.380005,970800
"32",2015-01-05,"ROP","Roper Industries",155.330002,152.029999,151.75,155.550003,449600
"33",2015-01-05,"SBUX","Starbucks Corp.",80.139999,79.879997,79.489998,80.669998,11623800
"34",2015-01-05,"SNA","Snap-On Inc.",135.240005,133.839996,133.710007,136.039993,437300
"35",2015-01-05,"TDG","TransDigm Group",197.25,196.449997,194.449997,198.880005,508300
"36",2015-01-05,"WDC","Western Digital",110.220001,108.970001,108.559998,111.230003,1662700
"37",2015-01-06,"ANTM","Anthem Inc.",125.019997,124.940002,124.269997,126.940002,2117000
"38",2015-01-06,"BEN","Franklin Resources",53.919998,52.599998,52.189999,53.939999,3468100
"39",2015-01-06,"BLK","BlackRock",348.700012,342.100006,338.549988,351.630005,626400
"40",2015-01-06,"COL","Rockwell Collins",84.18,83.769997,83.010002,84.839996,1000800
"41",2015-01-06,"CTAS","Cintas Corporation",77.489998,76.870003,75.900002,77.699997,1181000
"42",2015-01-06,"FFIV","F5 Networks",128,126.730003,126.690002,129.470001,958500
"43",2015-01-06,"FOX","Twenty-First Century Fox Class B",35.91,35.27,35.119999,35.919998,1921700
"44",2015-01-06,"GPS","Gap (The)",42.130001,41.59,41.220001,42.529999,4247200
"45",2015-01-06,"HP","Helmerich & Payne",64.989998,63.66,62.470001,66.290001,2165400
"46",2015-01-06,"HPQ","HP Inc.",39.87,39.269999,38.919998,40.219997,26398600
"47",2015-01-06,"MKC","McCormick & Co.",72.970001,72.370003,72.050003,73.209999,1126300
"48",2015-01-06,"NFX","Newfield Exploration Co",24.67,24.6,23.83,25.129999,3993100
"49",2015-01-06,"ORLY","O'Reilly Automotive",189.729996,188.080002,186.570007,189.919998,898300
"50",2015-01-06,"ROP","Roper Industries",152.149994,149.910004,148.660004,152.369995,422500
"51",2015-01-06,"SBUX","Starbucks Corp.",80.339996,79.230003,78.559998,80.389999,7664400
"52",2015-01-06,"SNA","Snap-On Inc.",133.839996,133.429993,131.770004,134.570007,441500
"53",2015-01-06,"TDG","TransDigm Group",196.410004,196.949997,194.300003,197.770004,448100
"54",2015-01-06,"WDC","Western Digital",108.389999,106.540001,106.129997,109.339996,2014900
"55",2015-01-07,"ANTM","Anthem Inc.",125.139999,125.559998,125.139999,127.900002,1578500
"56",2015-01-07,"BEN","Franklin Resources",52.580002,53.290001,52.580002,53.41,1852900
"57",2015-01-07,"BLK","BlackRock",345.149994,349.339996,344.26001,349.980011,388300
