"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueDTW","timeExec_sys","timeExec_elap"
1,1,"ssa",1348,890,"-1",1,0,0.00104309716806704,1.69371079314139e-05,0,0.0900000000001455
1,1,"stine",1348,890,"-1",1,0,0.000212980154762527,3.05423219592363e-06,0,0.00100000000020373
1,1,"locf",1348,890,"-1",1,0,0.000201520996445261,2.74235340971174e-06,1e-14,0.00100000000021373
1,1,"MAE",1348,890,"-1",1,0,0.000228108648811829,3.46597765145166e-06,0,0.00100000000020373
1,1,"seadec",1348,890,"-1",1,0,0.000597675772615817,8.13333708073586e-06,0,0.011000000000422
1,1,"seasplit",1348,890,"-1",1,0,0.000153953677043296,2.74235340971174e-06,0,0.00300000000061118
1,2,"ssa",1347,889,"1",1,0,0.000662914592922431,1.36920477082327e-05,0,0.0840000000007421
1,2,"stine",1347,889,"1",1,0,0.000265686662756575,4.40922452938104e-06,0,0.00100000000020373
1,2,"locf",1347,889,"1",1,0,0.000271749525499869,4.32137547490526e-06,1e-14,1e-14
1,2,"MAE",1347,889,"1",1,0,0.000388609360743574,3.37446261381193e-06,0,0.00100000000020373
1,2,"seadec",1347,889,"1",1,0,0.000569673832468391,9.46888646179099e-06,0,0.0119999999988067
1,2,"seasplit",1347,889,"1",1,0,0.000215447471709162,4.33312778827248e-06,0,0.00299999999879219
1,3,"ssa",1346,889,"-1",1,0,0.00208022917827377,1.5756298638106e-05,0.0319999999999965,0.122000000001208
1,3,"stine",1346,889,"-1",1,0,0.001031455282163,2.18905956028751e-05,0,0.00100000000020373
1,3,"locf",1346,889,"-1",1,0,0.00163553819688727,4.45314905661893e-06,1e-14,1e-14
1,3,"MAE",1346,889,"-1",1,0,0.00105157875308937,1.95643710718905e-05,0,0
1,3,"seadec",1346,889,"-1",1,0,0.00107055397880468,1.53139046135024e-05,0,0.00900000000001455
1,3,"seasplit",1346,889,"-1",1,0,0.000222689638349869,5.09968115701748e-06,0,0.00199999999858846
1,4,"ssa",1345,888,"-1",1,0,0.00209274932697042,2.10713704367711e-05,0,0.0889999999999418
1,4,"stine",1345,888,"-1",1,0,0.00155385428187856,1.43371738202327e-05,0,0.00100000000020373
1,4,"locf",1345,888,"-1",1,0,0.0019048122659228,6.53331779703675e-06,1e-14,1e-14
1,4,"MAE",1345,888,"-1",1,0,0.00103985451090672,3.32179163428582e-05,0,0
1,4,"seadec",1345,888,"-1",1,0,0.000953157555051447,2.33938917268574e-05,0,0.00900000000001455
1,4,"seasplit",1345,888,"-1",1,0,0.000956492466130724,8.90336292112204e-06,0,0.00200000000040745
1,5,"ssa",1344,888,"-1",1,0,0.00215072744565822,2.28936630750921e-05,0,0.0779999999995198
1,5,"stine",1344,888,"-1",1,0,0.00091337031185931,3.47359692036168e-05,0,0.00100000000020373
1,5,"locf",1344,888,"-1",1,0,0.00124126192215927,1.483830568285e-05,1e-14,1e-14
1,5,"MAE",1344,888,"-1",1,0,0.00136398396004042,2.1306299944544e-05,0,0
1,5,"seadec",1344,888,"-1",1,0,0.00110915045803884,3.80824789988058e-05,0,0.0100000000002183
1,5,"seasplit",1344,888,"-1",1,0,0.00149512837750237,1.62203406138551e-05,0,0.00199999999858846
1,6,"ssa",1343,887,"-1",1,0,0.00215561510951044,2.78048234278505e-05,0,0.0860000000011496
1,6,"stine",1343,887,"-1",1,0,0.00166742397393969,4.18444527990197e-05,0,0.00100000000020373
1,6,"locf",1343,887,"-1",1,0,0.00156371627565559,4.01138187674898e-05,1e-14,1e-14
1,6,"MAE",1343,887,"-1",1,0,0.00153988491589323,4.13214594312029e-05,0,0
1,6,"seadec",1343,887,"-1",1,0,0.00193099127930581,4.72159068503815e-05,0,0.00900000000001455
1,6,"seasplit",1343,887,"-1",1,0,0.00171334322066596,4.29595210262311e-05,0,0.00500000000101863
1,7,"ssa",1342,886,"-1",1,0,0.00220413766758543,3.18355227361844e-05,0,0.0859999999993306
1,7,"stine",1342,886,"-1",1,0,0.00149857780803459,4.22524498105969e-05,0,0.00100000000020373
1,7,"locf",1342,886,"-1",1,0,0.00145109370622975,3.82054454306577e-05,1e-14,1e-14
1,7,"MAE",1342,886,"-1",1,0,0.00146157344465243,4.13610427775692e-05,0,0
1,7,"seadec",1342,886,"-1",1,0,0.00226349275087575,5.89961351612057e-05,0,0.0119999999988067
1,7,"seasplit",1342,886,"-1",1,0,0.00171456446112675,4.12079024966537e-05,0,0.00299999999879219
1,8,"ssa",1341,885,"1",1,0,0.00224254197798816,4.01697795653012e-05,0,0.0739999999987049
1,8,"stine",1341,885,"1",1,0,0.00197440999404254,5.41509814422445e-05,0,0.00100000000020373
1,8,"locf",1341,885,"1",1,0,0.00204955309894668,5.03617670241764e-05,1e-14,1e-14
1,8,"MAE",1341,885,"1",1,0,0.00144062312742698,4.21006728491826e-05,0,0
1,8,"seadec",1341,885,"1",1,0,0.00212137307698014,5.19212076685383e-05,0,0.00799999999981083
1,8,"seasplit",1341,885,"1",1,0,0.00187546973784414,2.53937036557239e-05,0,0.00299999999879219
1,9,"ssa",1340,885,"-1",1,0,0.00237706581961236,4.13125439073921e-05,0,0.0730000000003201
1,9,"stine",1340,885,"-1",1,0,0.00153537342350541,4.8439290171391e-05,0,0.00100000000020373
1,9,"locf",1340,885,"-1",1,0,0.00139959369768878,4.24762756010338e-05,1e-14,1e-14
1,9,"MAE",1340,885,"-1",1,0,0.00140168356211881,4.83442696447334e-05,0,0
1,9,"seadec",1340,885,"-1",1,0,0.00192476056207711,4.45699972399713e-05,0,0.0100000000002183
1,9,"seasplit",1340,885,"-1",1,0,0.00188835156698078,2.48955486917475e-05,0,0.00300000000061118
1,10,"ssa",1339,885,"-1",1,0,0.0024208546292861,4.12266883519355e-05,0.000999999999997669,0.0849999999991269
1,10,"stine",1339,885,"-1",1,0,0.00165331011580174,4.93566687288269e-05,0,0.00100000000020373
1,10,"locf",1339,885,"-1",1,0,0.00139095785240682,4.2660215266246e-05,1e-14,0.00100000000021373
1,10,"MAE",1339,885,"-1",1,0,0.00140770562221685,4.83402770083241e-05,0,0
1,10,"seadec",1339,885,"-1",1,0,0.00190608703489051,4.32933030731625e-05,0,0.00900000000001455
1,10,"seasplit",1339,885,"-1",1,0,0.0018955728250176,2.73289613168967e-05,0,0.00300000000061118
1,11,"ssa",1338,884,"-1",1,0,0.00247575487351686,5.26410982641127e-05,0,0.0709999999999127
1,11,"stine",1338,884,"-1",1,0,0.00156187967867276,5.6100712688475e-05,0,0.00100000000020373
1,11,"locf",1338,884,"-1",1,0,0.00171417716473854,4.78291894632798e-05,1e-14,1e-14
1,11,"MAE",1338,884,"-1",1,0,0.00143920438168946,4.78673318956319e-05,0,0
1,11,"seadec",1338,884,"-1",1,0,0.00186226483273276,5.26606634126248e-05,0,0.00900000000001455
1,11,"seasplit",1338,884,"-1",1,0,0.00192490393392962,3.79718997815817e-05,0,0.00499999999919964
1,12,"ssa",1337,883,"1",1,0,0.00247820923163632,5.27647251774498e-05,0.0349999999999966,0.182999999999083
1,12,"stine",1337,883,"1",1,0,0.00203358389000566,5.72694208121556e-05,0,0.00100000000020373
1,12,"locf",1337,883,"1",1,0,0.00198573397067642,5.43642850423311e-05,1e-14,0.000999999998394737
1,12,"MAE",1337,883,"1",1,0,0.00165613773316989,5.91058429867341e-05,0,0
1,12,"seadec",1337,883,"1",1,0,0.00244638768795124,7.66555602646501e-05,0.00100000000000477,0.0100000000002183
1,12,"seasplit",1337,883,"1",1,0,0.00196748636233183,3.70792818032025e-05,0,0.00299999999879219
1,13,"ssa",1336,882,"-1",1,0,0.00266077677109517,5.98806112645352e-05,0,0.0799999999999272
1,13,"stine",1336,882,"-1",1,0,0.00153374448628974,6.03803407945996e-05,0,0.00100000000020373
1,13,"locf",1336,882,"-1",1,0,0.00147768619590408,5.59526370845552e-05,1e-14,1e-14
1,13,"MAE",1336,882,"-1",1,0,0.00159855308144716,6.02766759830797e-05,0,0
1,13,"seadec",1336,882,"-1",1,0,0.00206513406451214,6.05262810352771e-05,0,0.00900000000001455
1,13,"seasplit",1336,882,"-1",1,0,0.00208010217254372,3.44995600834397e-05,0,0.00399999999899592
1,14,"ssa",1335,882,"-1",1,0,0.00272066732614288,5.85692662818996e-05,0,0.0720000000001164
1,14,"stine",1335,882,"-1",1,0,0.00159715309145224,6.49545464083711e-05,0,0.00100000000020373
1,14,"locf",1335,882,"-1",1,0,0.00165622798201762,6.01035475057096e-05,1e-14,0.00100000000021373
1,14,"MAE",1335,882,"-1",1,0,0.00173191207708593,6.4657739584892e-05,0,0
1,14,"seadec",1335,882,"-1",1,0,0.00248620305879874,8.28108587102135e-05,0,0.0100000000002183
1,14,"seasplit",1335,882,"-1",1,0,0.00209643690494086,3.47405461413351e-05,0,0.00400000000081491
1,15,"ssa",1334,881,"-1",1,0,0.00286698635224676,6.25792442725159e-05,0,0.0769999999993161
1,15,"stine",1334,881,"-1",1,0,0.00195450486536267,6.3519588487535e-05,0,0
1,15,"locf",1334,881,"-1",1,0,0.00175392115759966,6.42571574201426e-05,1e-14,1e-14
1,15,"MAE",1334,881,"-1",1,0,0.00176230334573621,6.35314711884296e-05,0,0.00100000000020373
1,15,"seadec",1334,881,"-1",1,0,0.0021797050150638,6.53015088404241e-05,0,0.00900000000001455
1,15,"seasplit",1334,881,"-1",1,0,0.00211857310396407,3.48918782597821e-05,0,0.00399999999899592
1,16,"ssa",1333,880,"-1",1,0,0.00303295285586282,6.80236695535623e-05,0,0.0849999999991269
1,16,"stine",1333,880,"-1",1,0,0.00157120010111162,6.42630179642084e-05,0,0.00100000000020373
1,16,"locf",1333,880,"-1",1,0,0.00157543743731175,5.91667961375763e-05,1e-14,1e-14
1,16,"MAE",1333,880,"-1",1,0,0.00178400814309215,6.3243276805296e-05,0,0
1,16,"seadec",1333,880,"-1",1,0,0.0024319582519862,8.23512755047418e-05,0,0.00999999999839929
1,16,"seasplit",1333,880,"-1",1,0,0.0021394288930624,3.81977453198588e-05,0,0.00300000000061118
1,17,"ssa",1332,879,"-1",1,0,0.00316305147981684,7.57907870119805e-05,0,0.0739999999987049
1,17,"stine",1332,879,"-1",1,0,0.00199633530196892,6.14277344308038e-05,0,0.00100000000020373
1,17,"locf",1332,879,"-1",1,0,0.00188380158267068,6.13534856636741e-05,1e-14,1e-14
1,17,"MAE",1332,879,"-1",1,0,0.00181060297361778,6.5606434471245e-05,0,0
1,17,"seadec",1332,879,"-1",1,0,0.00239898543815722,8.06480582995895e-05,0,0.00900000000001455
1,17,"seasplit",1332,879,"-1",1,0,0.00244643913233782,6.26645789759532e-05,0,0.00300000000061118
1,18,"ssa",1331,878,"-1",1,0,0.00333883232331147,7.93605320296835e-05,0,0.0720000000001164
1,18,"stine",1331,878,"-1",1,0,0.0015974333255127,6.62598270495067e-05,0,0.00100000000020373
1,18,"locf",1331,878,"-1",1,0,0.00174517877795748,6.590992878009e-05,1e-14,1e-14
1,18,"MAE",1331,878,"-1",1,0,0.0017095490920994,6.21003229854437e-05,0,0
1,18,"seadec",1331,878,"-1",1,0,0.00232593803035818,7.95647732037371e-05,0,0.0100000000002183
1,18,"seasplit",1331,878,"-1",1,0,0.00246386424322348,6.01160219629956e-05,0,0.00499999999919964
1,19,"ssa",1330,878,"-1",1,0,0.00349024720904025,9.00444176652599e-05,0,0.081000000000131
1,19,"stine",1330,878,"-1",1,0,0.00163919901497244,6.82892282432903e-05,0,0.00100000000020373
1,19,"locf",1330,878,"-1",1,0,0.00190015592900245,6.23504693662531e-05,1e-14,1e-14
