"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueMSE","valueSMAPE","valueMAE","valueDTW","timeExec_sys","timeExec_elap"
1,15,"ssa",1334,881,"-1",1,0,0.00286698635224676,8.21961074396917e-06,NA,0.000260801363584248,6.25792442725159e-05,0.0109999999999957,0.11699999999837
1,15,"stine",1334,881,"-1",1,0,0.00195450486536267,3.82008926872634e-06,NA,0.000145728302155132,6.3519588487535e-05,0,0.00100000000020373
1,15,"locf",1334,881,"-1",1,0,0.00175392115759966,3.07623942707574e-06,NA,0.000128514314840285,6.42571574201426e-05,1e-14,0.00100000000021373
1,15,"SMA",1334,881,"-1",1,0,0.00182064692030646,3.31475520842138e-06,NA,0.000131927581610839,6.0801589892691e-05,0,0
1,15,"seadec",1334,881,"-1",1,0,0.0021797050150638,4.75111395269428e-06,NA,0.000163709146549148,6.53015088404241e-05,0,0.011000000002241
1,15,"seasplit",1334,881,"-1",1,0,0.00211857310396407,4.48835199683997e-06,NA,0.000176118274938992,3.48918782597821e-05,0,0.00400000000081491
1,15,"SMA2",1334,881,"-1",1,0,0.00176230334573621,3.10571308239303e-06,NA,0.000128542666038028,6.35314711884296e-05,0,0
1,30,"ssa",1319,869,"1",1,0,0.00486493425478713,2.36675853034012e-05,NA,0.000651578875013416,0.000153772905128777,0.00800000000000978,0.110000000000582
1,30,"stine",1319,869,"1",1,0,0.00286665949818875,8.21773667855579e-06,NA,0.000322064252104382,0.000132729726088891,0,0.000999999996565748
1,30,"locf",1319,869,"1",1,0,0.00272467649019936,7.42386197624508e-06,NA,0.000293114887349525,0.000115394637584314,1e-14,0.00100000000021373
1,30,"SMA",1319,869,"1",1,0,0.00252892564187496,6.39546490213269e-06,NA,0.000299180706933199,0.000118972115868774,0.00100000000000477,0.00100000000020373
1,30,"seadec",1319,869,"1",1,0,0.00245606737018626,6.03226692689363e-06,NA,0.000246351598202983,0.000117433655835596,0.000999999999976353,0.00900000000183354
1,30,"seasplit",1319,869,"1",1,0,0.00245941577339402,6.04872594641933e-06,NA,0.000285220608081291,0.000107435504108434,0,0.00300000000061118
1,30,"SMA2",1319,869,"1",1,0,0.0021348473132438,4.55757305086427e-06,NA,0.000274353464867082,0.000130409531136527,0,0
1,45,"ssa",1304,861,"1",1,0,0.0077976626082508,6.08035421521127e-05,NA,0.00131501345931257,0.000301612161834475,0.00499999999999545,0.109000000000378
1,45,"stine",1304,861,"1",1,0,0.00511554726830363,2.61688238542488e-05,NA,0.000812448463046458,0.00032732234505624,0,0.00100000000020373
1,45,"locf",1304,861,"1",1,0,0.00352379459076569,1.24171283179095e-05,NA,0.00045698724110562,0.000182867572292203,1e-14,1e-14
1,45,"SMA",1304,861,"1",1,0,0.00328128981853783,1.07668628732401e-05,NA,0.000419040025739893,0.000180002379559651,0,0.00300000000061118
1,45,"seadec",1304,861,"1",1,0,0.00336438206609132,1.13190666866369e-05,NA,0.000423009402067311,0.000195582328513106,0,0.00900000000183354
1,45,"seasplit",1304,861,"1",1,0,0.0114865392853819,0.000131940584754622,NA,0.00105866512406415,0.00040283966876917,0,0.00400000000081491
1,45,"SMA2",1304,861,"1",1,0,0.00386211757374832,1.49159521534556e-05,NA,0.000635495329628617,0.000220737594469089,0,0
1,60,"ssa",1289,850,"-1",1,0,0.0113998742959879,0.000129957133964326,NA,0.00214796270121222,0.000569445152311104,0.00200000000000955,0.111000000000786
1,60,"stine",1289,850,"-1",1,0,0.0134643587531201,0.000181288956632721,NA,0.00254032710117039,0.000610402637313875,0,0.00100000000020373
1,60,"locf",1289,850,"-1",1,0,0.00933075633523171,8.70630137874667e-05,NA,0.00162257186401987,0.00038072824987302,1e-14,1e-14
1,60,"SMA",1289,850,"-1",1,0,0.00743825334060402,5.53276127590069e-05,NA,0.0010546646186945,0.0003872298344088,0.00100000000000477,0.00800000000162981
1,60,"seadec",1289,850,"-1",1,0,0.00701162011107876,4.91628165820841e-05,NA,0.000841689229061463,0.000354460690339552,0,0.00900000000183354
1,60,"seasplit",1289,850,"-1",1,0,0.00929540562551787,8.64045657429094e-05,NA,0.00118828288102115,0.000452347697270057,0,0.00300000000061118
1,60,"SMA2",1289,850,"-1",1,0,0.00984254658614925,9.68757233005182e-05,NA,0.00166960486944873,0.000608604410315728,0,0
1,75,"ssa",1274,843,"-1",1,0,0.0151340762269466,0.000229040263243031,NA,0.00332060503642028,0.000680807381979539,0.000999999999976353,0.0730000000003201
1,75,"stine",1274,843,"-1",1,0,0.00890651090094447,7.93259364286427e-05,NA,0.00113828887030236,0.000475748910291954,0,0.00100000000020373
1,75,"locf",1274,843,"-1",1,0,0.0088400586041424,7.81466361246722e-05,NA,0.00111515803830792,0.000485566224617425,1e-14,1e-14
1,75,"SMA",1274,843,"-1",1,0,0.00759003276970468,5.76085974451909e-05,NA,0.00103319414132562,0.000478190748074288,0.00100000000000477,0.00799999999799184
1,75,"seadec",1274,843,"-1",1,0,0.00871099571089931,7.58814462753062e-05,NA,0.00104791968148896,0.000461004368442844,0,0.00900000000183354
1,75,"seasplit",1274,843,"-1",1,0,0.0089925123738163,8.08652787932393e-05,NA,0.0012310037522382,0.000528055029340639,0,0.00500000000101863
1,75,"SMA2",1274,843,"-1",1,0,0.0193232057914043,0.00037338628205696,NA,0.00403267853972718,0.00115594745148619,0,0.00100000000020373
1,90,"ssa",1259,836,"-1",1,0,0.02738955161966,0.000750187537926017,NA,0.00675089566646269,0.00147728126385251,0,0.120999999999185
1,90,"stine",1259,836,"-1",1,0,0.0412023269932982,0.00169763174966267,NA,0.00986918984615977,0.00120697532161167,0,0.00100000000020373
1,90,"locf",1259,836,"-1",1,0,0.0363798284796735,0.00132349192021047,NA,0.00926602811729305,0.000658276267360208,1e-14,1e-14
1,90,"SMA",1259,836,"-1",1,0,0.0271761037843275,0.000738540616896539,NA,0.00653057860533566,0.00102330682888416,0,0.0119999999988067
1,90,"seadec",1259,836,"-1",1,0,0.020173723710919,0.000406979128364494,NA,0.00434547116223515,0.0011973895555137,0,0.00899999999819556
1,90,"seasplit",1259,836,"-1",1,0,0.0375580076371189,0.00141060393766988,NA,0.00929191249936969,0.00131400137429378,0,0.00399999999717693
1,90,"SMA2",1259,836,"-1",1,0,0.0357250462998175,0.0012762789331241,NA,0.00907029903238405,0.00079362805285342,0,0.00100000000020373
1,105,"ssa",1244,828,"-1",1,0,0.0261205300069569,0.000682282087844338,NA,0.00660649235687033,0.00172279452210223,0,0.100999999998749
1,105,"stine",1244,828,"-1",1,0,0.0347530041064911,0.00120777129442579,NA,0.00841955641705893,0.00111459823675281,0,0.00100000000020373
1,105,"locf",1244,828,"-1",1,0,0.032935973634381,0.00108477835924464,NA,0.00854377073244203,0.000759550246680249,1e-14,1e-14
