"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueMSE","valueSMAPE","valueMAE","valueDTW","timeExec_sys","timeExec_elap"
1,15,"ssa",1334,881,"-1",1,0,0.00286698635224676,8.21961074396917e-06,NA,0.000260801363584248,6.25792442725159e-05,0.00100000000000122,0.123999999999796
1,30,"ssa",1319,869,"1",1,0,0.00486493425478713,2.36675853034012e-05,NA,0.000651578875013416,0.000153772905128777,0.0419999999999998,0.15099999999984
1,45,"ssa",1304,861,"1",1,0,0.0077976626082508,6.08035421521127e-05,NA,0.00131501345931257,0.000301612161834475,0,0.114999999999782
1,60,"ssa",1289,850,"-1",1,0,0.0113998742959879,0.000129957133964326,NA,0.00214796270121222,0.000569445152311104,0,0.116999999999734
1,75,"ssa",1274,843,"-1",1,0,0.0151340762269466,0.000229040263243031,NA,0.00332060503642028,0.000680807381979539,0.000999999999999446,0.11200000000008
1,90,"ssa",1259,836,"-1",1,0,0.02738955161966,0.000750187537926017,NA,0.00675089566646269,0.00147728126385251,0.0220000000000002,0.217999999999847
1,105,"ssa",1244,828,"-1",1,0,0.0261205300069569,0.000682282087844338,NA,0.00660649235687033,0.00172279452210223,0.000999999999999446,0.114000000000033
1,120,"ssa",1229,818,"-1",1,0,0.028101998906512,0.0007897223425416,NA,0.00729330386245044,0.00155671131146318,0,0.114000000000033
1,135,"ssa",1214,807,"-1",1,0,0.0202187600952028,0.000408798259787365,NA,0.00438221593365204,0.0011053400428483,0,0.106999999999971
1,150,"ssa",1199,797,"-1",1,0,0.024956121370494,0.000622807993858828,NA,0.00595174224800307,0.00130920379493537,0,0.126999999999953
1,165,"ssa",1184,787,"-1",1,0,0.0254620544395523,0.000648316216282725,NA,0.00639999539621499,0.00152771074885654,0,0.108000000000175
1,180,"ssa",1169,777,"1",1,0,0.0287503082455653,0.000826580224215017,NA,0.00793714650099291,0.0030396332885556,0,0.117999999999938
1,195,"ssa",1154,767,"1",1,0,0.0288793376070793,0.000834016140623665,0.110197660649613,0.00810204132393694,0.00315096087555722,0,0.101999999999862
1,210,"ssa",1139,758,"-1",1,0,0.0295461846510467,0.00087297702743375,0.11815755213779,0.00841878750407522,0.00364400999091947,0.000999999999999446,0.117999999999938
1,225,"ssa",1124,748,"-1",1,0,0.0299650354378773,0.000897903348793243,0.130444413883681,0.00877221600713553,0.00404511101748101,0,0.11200000000008
1,240,"ssa",1109,736,"-1",1,0,0.0297993001091686,0.000887998286996295,0.135865253519772,0.00883160363368795,0.00389592731091486,0,0.11200000000008
1,255,"ssa",1094,726,"-1",1,0,0.0301310438245213,0.000907879801955221,0.150042419628854,0.00912524981035128,0.00382833514140944,0,0.105000000000018
1,270,"ssa",1079,716,"-1",1,0,0.0305874962219054,0.000935594925125078,0.158944557618089,0.0095680008229764,0.00423289505678753,0,0.10799999999972
1,285,"ssa",1064,709,"-1",1,0,0.0306984575263408,0.000942395294496552,0.157766881549437,0.00980233419486135,0.00443446079776317,0,0.11200000000008
1,300,"ssa",1049,698,"-1",1,0,0.0308382726765709,0.00095099906167454,0.154236463585886,0.00977804118522903,0.00443211865808347,0,0.10799999999972
1,315,"ssa",1034,690,"-1",1,0,0.0309101954792973,0.000955440184568373,0.164296943674558,0.0100884917953598,0.00442391795045127,0.000999999999999446,0.115000000000236
1,330,"ssa",1019,680,"-1",1,0,0.0318204702521517,0.00101254232706807,0.175308812611066,0.010893614427088,0.004598442989135,0,0.105999999999767
1,345,"ssa",1004,670,"-1",1,0,0.0325935133426176,0.00106233711201539,0.177975819136548,0.0113043660885504,0.00468551711992258,0,0.100999999999658
1,360,"ssa",989,660,"-1",1,0,0.0376500476939653,0.00141752609135786,0.195304374448941,0.0143922510875502,0.00645919625112172,0.00100000000000122,0.106999999999971
1,375,"ssa",974,652,"-1",1,0,0.0362266202194993,0.00131236801252784,0.188717518753501,0.0136928095367069,0.006374237295923,0,0.104000000000269
1,390,"ssa",959,641,"-1",1,0,0.0368219257343044,0.00135585421478263,0.212114458445981,0.014343451520444,0.00641855594491253,0.000999999999999446,0.126999999999953
1,405,"ssa",944,633,"-1",1,0,0.0381673380169301,0.0014567456912986,0.225373333310378,0.0152254518538983,0.00649568453590126,0.000999999999999446,0.10799999999972
1,420,"ssa",929,624,"-1",1,0,0.0373934673436924,0.00139827139998379,0.22879608063808,0.0149792055776781,0.00653069295852,0,0.103000000000065
1,435,"ssa",914,614,"-1",1,0,0.0378679687639915,0.00143398305831064,0.251170223828565,0.0156880660048611,0.00738883437782763,0,0.11200000000008
1,450,"ssa",899,601,"-1",1,0,0.0392565065193606,0.0015410733041046,0.289193917928212,0.0165593767842973,0.00741985696143437,0.0170000000000012,0.383000000000266
1,465,"ssa",884,590,"-1",1,0,0.0384813663989481,0.00148081555993009,0.269761557909595,0.0161167302674674,0.00736403873610128,0,0.103000000000065
1,480,"ssa",869,578,"-1",1,0,0.0381916835566169,0.00145860469288876,0.275709418876778,0.0161417082956653,0.00720423556358886,0,0.108999999999924
1,495,"ssa",854,569,"-1",1,0,0.0388524670400198,0.00150951419509582,0.270739748457135,0.01643042459321,0.00715677112950334,0,0.106999999999971
1,510,"ssa",839,561,"-1",1,0,0.0384572219475564,0.00147895791992361,0.274499312313473,0.0166443295757514,0.00727750256258348,0.00500000000000078,0.126999999999953
1,525,"ssa",824,551,"-1",1,0,0.0408817555376272,0.00167131793583831,0.285054158623017,0.0178174131849689,0.00725312292842856,0.00699999999999967,0.376000000000204
1,540,"ssa",809,543,"-1",1,0,0.0569844742969637,0.00324723031090131,0.422467424899792,0.0274396919851826,0.0102394605247499,0.00300000000000011,0.135999999999967
1,555,"ssa",794,532,"-1",1,0,0.0529845562571824,0.00280736320177052,0.380949414665557,0.0253315139704303,0.010068809277725,0.00100000000000122,0.105000000000018
1,570,"ssa",779,519,"-1",1,0,0.0574543270183949,0.00330099969313667,0.427536161738152,0.0278421047156044,0.010399554548481,0.000999999999999446,0.114000000000033
1,585,"ssa",764,510,"-1",1,0,0.0593154288432711,0.00351832009886116,0.453905628100493,0.0290127629456211,0.0104342042393037,0,0.106999999999971
1,600,"ssa",749,500,"-1",1,0,0.0553909103833311,0.00306815295309422,0.442414214590129,0.0273000506512199,0.00996440390190518,0.00100000000000122,0.0999999999999091
1,615,"ssa",734,490,"-1",1,0,0.059519006305229,0.0035425121115619,0.465034839847875,0.0295808310365768,0.0105028851901861,0.00500000000000078,0.114000000000033
1,630,"ssa",719,479,"-1",1,0,0.0612365579359494,0.00374991602784289,0.454649309648,0.0353103674289079,0.0122946405885557,0.00600000000000023,0.108000000000175
1,645,"ssa",704,472,"-1",1,0,0.0597835761737879,0.0035740759801271,0.454580957107729,0.0346139768891092,0.0122216440656195,0,0.0570000000002437
1,660,"ssa",689,462,"-1",1,0,0.0624669032421329,0.003902114000662,0.459323302506812,0.0364754489477111,0.0120910091876641,0,0.0329999999999018
2,15,"ssa",1334,901,"-1",1,0,0.00411383444580538,1.69236338474948e-05,NA,0.000394097663466273,0.00013019473087168,0.00200000000000067,0.120000000000346
2,30,"ssa",1319,891,"-1",1,0,0.00590842269521193,3.49094587452955e-05,NA,0.000795140313700067,0.000288241167340477,0,0.110000000000127
2,45,"ssa",1304,881,"-1",1,0,0.00875231472276124,7.66030130062632e-05,NA,0.00143186659920172,0.000394875787069022,0,0.103999999999814
2,60,"ssa",1289,871,"1",1,0,0.0128875352323123,0.000166088564364091,NA,0.00225319327627463,0.000744178315862592,0,0.104000000000269
2,75,"ssa",1274,859,"-1",1,0,0.0159044216841321,0.000252950629106691,NA,0.00331571904847921,0.000904622153935103,0,0.109999999999673
2,90,"ssa",1259,848,"-1",1,0,0.0266670186335527,0.000711129882802246,NA,0.00646366146183919,0.00157846626722943,0,0.105999999999767
2,105,"ssa",1244,839,"-1",1,0,0.0157769780858127,0.000248913037520213,NA,0.00277555031173454,0.0013653874930054,0.000999999999999446,0.108999999999924
