"gapSize","method","rmse","sdRmse","error"
1,"ssa",0.0010681474314324,0.000643777359116152,0.000193348574243463
1,"stine",0.000843469117933657,0.000674358172421257,0.000202533048608739
1,"locf",0.000967590032091083,0.000807077714583867,0.000242393310682286
1,"MAE",0.000762355923805162,0.000620819054455726,0.000186453402472845
1,"seadec",0.000877323510436025,0.000659772321218785,0.000198152413760075
1,"seasplit",0.000757440080887555,0.000786476253988376,0.000236205980579625
2,"ssa",0.00142153229072071,0.000690666998223582,0.000207431152233871
2,"stine",0.00132906161939201,0.000828982350919379,0.00024897202946576
2,"locf",0.00153155075638565,0.000964216808144234,0.000289587607386848
2,"MAE",0.00123931451632781,0.000813932971449848,0.000244452181070226
2,"seadec",0.00135245885862811,0.00078273619726719,0.000235082712380781
2,"seasplit",0.0013623348906793,0.000908265252933385,0.00027278342303098
3,"ssa",0.00177421756720309,0.000635832460921501,0.000190962446932999
3,"stine",0.00176706378220071,0.00100173732138882,0.000300856313311336
3,"locf",0.0018937973436052,0.00115296521273159,0.000346275271842456
3,"MAE",0.00160826398792796,0.000772571657503212,0.000232029950050176
3,"seadec",0.00183729279418878,0.000912188945098037,0.000273961843295475
3,"seasplit",0.00192501458249799,0.0010221347715924,0.000306982372047667
4,"ssa",0.00214970790050657,0.000748516157820365,0.000224805252721929
4,"stine",0.00197554963715098,0.00100751165220874,0.000302590544277107
4,"locf",0.00214699461218898,0.00127795399268265,0.000383813719036599
4,"MAE",0.00170998068490751,0.000748485937691777,0.00022479617657364
4,"seadec",0.00206570589868427,0.00095553326124531,0.000286979638360742
4,"seasplit",0.00216252413364573,0.00104651846547719,0.000314305637429174
5,"ssa",0.00233887671935676,0.000820305168318709,0.000246365971858216
5,"stine",0.00216559989009148,0.00104672404051974,0.000314367378714127
5,"locf",0.00216133739724843,0.00115053999029278,0.000345546893787329
5,"MAE",0.00209011480090957,0.0010114539257191,0.000303774545161438
5,"seadec",0.00226645289614552,0.0010439450453205,0.000313532750481254
5,"seasplit",0.00254323754211643,0.00113794883704728,0.000341765335623433
6,"ssa",0.00242616617925869,0.000817135568893452,0.00024541403168648
6,"stine",0.00248767791795879,0.00126051006209957,0.00037857470424417
6,"locf",0.00262587652137535,0.00155749539771832,0.000467769657126541
6,"MAE",0.00223037734046432,0.00106019516210072,0.000318413221759491
6,"seadec",0.00257270225851244,0.00107586363491497,0.000323119005267268
6,"seasplit",0.00271693540510227,0.00116139791433314,0.000348807903362641
7,"ssa",0.00255079012010279,0.000740211826500998,0.000222311175230839
7,"stine",0.00255659754379134,0.00107886248865018,0.000324019664611458
7,"locf",0.00255353338742769,0.000963104170318999,0.000289253443822205
7,"MAE",0.00233853481598398,0.00108209921266592,0.000324991764615912
7,"seadec",0.00263735953928271,0.0010514809325336,0.000315796037668478
7,"seasplit",0.00293972854185287,0.00113338931203097,0.000340395952794652
8,"ssa",0.00264372104921261,0.000758198479893229,0.000227713188426167
8,"stine",0.00277828564696884,0.00104305417638622,0.000313265191773509
8,"locf",0.0027691603326806,0.00110882989362931,0.000333019911271961
8,"MAE",0.00244085899144312,0.0010758340618415,0.000323110123451975
8,"seadec",0.00279494404015146,0.00106771513939936,0.000320671730649944
8,"seasplit",0.00311859863164295,0.00115628662976927,0.000347272808086328
9,"ssa",0.00280889845897033,0.000801819685615208,0.000240814142993294
9,"stine",0.00313357975031388,0.00200937881700772,0.000603485854048749
9,"locf",0.00335434356082555,0.00270379858788225,0.000812044093514324
9,"MAE",0.00263030019448476,0.00112601930004963,0.000338182483668142
9,"seadec",0.00312390676813436,0.00159213824637919,0.000478174100994382
9,"seasplit",0.0032571075364993,0.00115712139316768,0.00034752351636401
10,"ssa",0.00300644330632424,0.000983097552028097,0.000295258146834854
10,"stine",0.00287741680478535,0.00126499293714774,0.000379921066440358
10,"locf",0.00290894484317659,0.00133450261368387,0.000400797222869401
10,"MAE",0.00268879844488665,0.00108812948362663,0.000326802863245032
10,"seadec",0.00294872352363384,0.0011648558805162,0.000349846450030693
10,"seasplit",0.00348105677219744,0.0012493755762147,0.000375230633595696
11,"ssa",0.00303702675185407,0.000943812964850607,0.000283459628584789
11,"stine",0.00331345226319519,0.00133584572048235,0.000401200604226117
11,"locf",0.00347113403515103,0.00147426949145202,0.000442774043209952
11,"MAE",0.00279465925080595,0.00109684032890675,0.000329419030917781
11,"seadec",0.00333550644019564,0.00128123329402642,0.000384798606483098
11,"seasplit",0.00372049461295388,0.00148287093069109,0.000445357352470158
12,"ssa",0.00319131583126651,0.000905246503951329,0.000271876788457063
12,"stine",0.00330966029356779,0.00137361368968924,0.000412543629722149
12,"locf",0.0033657933455322,0.00145063322537405,0.000435675256211773
12,"MAE",0.00289142967426328,0.00108645904166164,0.000326301171833068
12,"seadec",0.00340463728157672,0.00129461803981065,0.000388818507893648
12,"seasplit",0.00380313853716094,0.00146054595578062,0.000438652391495936
13,"ssa",0.0033445600907385,0.000906724790722627,0.00027232076902815
13,"stine",0.00350145655725303,0.0013402576239306,0.000402525651199795
13,"locf",0.0036236763403363,0.00171788527456884,0.000515940276321207
13,"MAE",0.00299459318568577,0.00112887379101501,0.000339039785886887
13,"seadec",0.00351815187896427,0.00119633343895086,0.000359300247928095
13,"seasplit",0.00393757879949094,0.00139786279397527,0.000419826473199004
14,"ssa",0.00349287000452246,0.000875099705856655,0.000262822663848498
14,"stine",0.00364448361599759,0.00134532377415536,0.000404047191075327
14,"locf",0.00372078508167849,0.00141446724162721,0.000424813362275081
14,"MAE",0.00305501040817359,0.00114908468411411,0.000345109815081861
14,"seadec",0.00357782962685848,0.00123470266431244,0.000370823851412184
14,"seasplit",0.00402984173852378,0.00143028688127591,0.000429564546403895
15,"ssa",0.00361605688866023,0.000889769608528503,0.000267228542256192
15,"stine",0.00347256118983163,0.00127109626434399,0.000381754106380062
15,"locf",0.00354499733960587,0.00125782828284753,0.000377769273317664
15,"MAE",0.00312822529954525,0.00108366469188414,0.000325461932090063
15,"seadec",0.00355088795804447,0.00121968916713083,0.000366314779706931
15,"seasplit",0.00407150299243581,0.00142575326330043,0.000428202944354192
16,"ssa",0.00373477094677211,0.00087360454987244,0.000262373616870182
16,"stine",0.00411502305421222,0.0015489475678406,0.000465202448608985
16,"locf",0.00411670737325758,0.00208693898225394,0.000626779850266684
16,"MAE",0.00314056524162071,0.00103419752822922,0.000310605234461432
16,"seadec",0.00396747342085477,0.00125602431285848,0.000377227478828588
16,"seasplit",0.00419104364461211,0.00154950002816974,0.00046536837152543
17,"ssa",0.00390610736102243,0.000889931755940374,0.000267277240723851
17,"stine",0.00419908913323277,0.00153932315953232,0.000462311906408342
17,"locf",0.00444020339682201,0.00212425823350225,0.000637988110262968
17,"MAE",0.00322250469576894,0.00101350747892416,0.000304391298109813
17,"seadec",0.00391766341743283,0.00125906306845239,0.000378140122078988
17,"seasplit",0.00435036476418658,0.00156772502435844,0.000470841967293871
18,"ssa",0.00405672857526691,0.000907411840932265,0.000272527113933864
18,"stine",0.00405983051326901,0.00179201375154493,0.00053820361803587
18,"locf",0.00415802107558743,0.00211647638101856,0.000635650951210402
18,"MAE",0.00330805775407255,0.000992536337430467,0.000298092940066234
18,"seadec",0.00411463534762354,0.00155618826017627,0.000467377078579755
18,"seasplit",0.00448436675913338,0.00166517054485032,0.000500108222446716
19,"ssa",0.00420879354688343,0.000884887187277976,0.00026576218253683
19,"stine",0.00411960498921402,0.00162035656344748,0.000486649036149284
19,"locf",0.0042474983006032,0.00207294975486541,0.000622578402154167
19,"MAE",0.00342696434042453,0.00116935183181975,0.00035119673947797
19,"seadec",0.00412184737074706,0.00154829950768066,0.000465007813761746
19,"seasplit",0.00491960950223582,0.00183269946079748,0.000550422941633807
20,"ssa",0.00434340510709071,0.000897537821026848,0.000269561604750091
20,"stine",0.00423665176631094,0.00146424838999907,0.000439764360357891
20,"locf",0.00434040390790831,0.00191403314555021,0.000574850256080678
20,"MAE",0.00353019002266708,0.00122510144792615,0.000367940274546663
20,"seadec",0.00416533692692919,0.00137620793951355,0.00041332277253862
20,"seasplit",0.00499302994363622,0.00184381258937107,0.000553760597944116
21,"ssa",0.00448726043669547,0.000865666438320287,0.000259989527822841
21,"stine",0.00460265621381199,0.0016756127225441,0.000503244369036061
21,"locf",0.00471380655126077,0.00208264961806168,0.000625491606063558
21,"MAE",0.00356754296743915,0.0011886668456694,0.000356997705194517
21,"seadec",0.00429236248673391,0.00132906000682679,0.000399162620065989
21,"seasplit",0.00504819685408611,0.0018550013702605,0.000557120975257578
22,"ssa",0.00467051857785265,0.000917777835231157,0.000275640380018676
22,"stine",0.00460286796035647,0.00159660374327612,0.000479515243931585
22,"locf",0.00470087972663558,0.00215178803178742,0.000646256259448821
22,"MAE",0.00370368178783139,0.00121512246874689,0.000364943242468115
22,"seadec",0.00436215355604427,0.00153629218351518,0.000461401599633521
22,"seasplit",0.00518399565161306,0.00200653285845563,0.000602631114408389
23,"ssa",0.0048046777378162,0.000914710262376571,0.000274719081949672
23,"stine",0.00458320704143426,0.00158620241637156,0.000476391366245056
23,"locf",0.0045254633264962,0.00185832533581075,0.00055811927690779
23,"MAE",0.0037916008505479,0.00119994055099636,0.000360383588249494
23,"seadec",0.00447504365344674,0.00161124273854246,0.000483911839777997
23,"seasplit",0.00533308496825823,0.00192538302833264,0.000578259017856375
24,"ssa",0.00495091497742778,0.000923469679398081,0.000277349837393819
24,"stine",0.00450760420277117,0.00140046901959074,0.00042060921275915
24,"locf",0.00448862799472208,0.00154323672648951,0.000463487285723355
24,"MAE",0.00379958182385879,0.00115760018891286,0.000347667315261833
24,"seadec",0.00431528185035757,0.00141031069061287,0.00042356500645608
24,"seasplit",0.00538686482773793,0.00190204373075071,0.000571249420753574
25,"ssa",0.00506103929645581,0.000899653581875253,0.000270197040802146
25,"stine",0.00547792855149486,0.00408741799857273,0.00122759278680771
25,"locf",0.00584376048420104,0.005950226445494,0.00178705849680936
25,"MAE",0.00395064811972516,0.00121784306962923,0.000365760332870933
25,"seadec",0.00508501339199892,0.00313923628430369,0.000942821071894754
25,"seasplit",0.00541881224445456,0.00193676110497486,0.00058167624722186
26,"ssa",0.00528635036098197,0.00112407130810766,0.000337597434412707
26,"stine",0.00467380236218124,0.00164727230062319,0.000494732761576939
26,"locf",0.0045729459257292,0.0015218674414338,0.000457069351417936
26,"MAE",0.00404050420312279,0.00146157508913908,0.000438961475785321
26,"seadec",0.00467933239291698,0.0016821341597909,0.000505202981863665
26,"seasplit",0.00552405057853181,0.00199779149924304,0.000600005782347901
27,"ssa",0.00538829713321904,0.00111917631315183,0.000336127298375401
27,"stine",0.00503899829995661,0.00165922663696347,0.000498323061631283
27,"locf",0.00499646804806324,0.00194952006178283,0.000585508202590781
27,"MAE",0.00411766483447827,0.00145810580161999,0.000437919528929071
27,"seadec",0.00497353192102631,0.00160904737740576,0.000483252497010317
27,"seasplit",0.00562533413677959,0.00199806892970466,0.000600089104296779
28,"ssa",0.00549903943379736,0.00109451053535125,0.000328719313452015
28,"stine",0.00481452541345893,0.00153367567773967,0.00046061577258628
28,"locf",0.00483741501862449,0.00156494158387772,0.000470006003989449
28,"MAE",0.00424576482147146,0.00143613050173204,0.000431319587440383
28,"seadec",0.00493898734734761,0.00165423422152528,0.000496823666858639
28,"seasplit",0.0060530570815091,0.00248184409736147,0.000745383494657531
29,"ssa",0.00563346813065145,0.00105757800515349,0.000317627199142893
29,"stine",0.00545380889912747,0.00224703426627803,0.000674861993061605
29,"locf",0.00547355075100788,0.00288837360201365,0.000867478344685054
29,"MAE",0.00428982109356897,0.00143853977320791,0.000432043174870462
29,"seadec",0.00512932586379693,0.00202520209153026,0.000608238129855709
29,"seasplit",0.00622087218137419,0.0024021403337907,0.000721445701832067
30,"ssa",0.00573503184189697,0.00108147196915004,0.0003248033817258
30,"stine",0.00535505556531374,0.00220535548617397,0.000662344415990565
30,"locf",0.00537337822009558,0.00310412681296896,0.000932276485122812
30,"MAE",0.0044156703260322,0.00144314222211745,0.000433425449226787
30,"seadec",0.00497208328484481,0.00197686773568479,0.000593721653534565
30,"seasplit",0.00631356780618297,0.00238752480200907,0.000717056152880442
31,"ssa",0.00587865650729971,0.00107020732704497,0.000321420220669363
31,"stine",0.00549585407556533,0.0022170986405241,0.000665871290799951
31,"locf",0.00559329025161927,0.00288657250344952,0.000866937412584049
31,"MAE",0.00454941972547431,0.00146494882554011,0.000439974725340894
31,"seadec",0.0051058664618955,0.00198072361167729,0.000594879706260484
31,"seasplit",0.00656797449059863,0.00248312695148712,0.000745768780055729
32,"ssa",0.00600174839182053,0.00107280436990312,0.000322200202330353
32,"stine",0.00600511604753108,0.0033942213685568,0.001019401898784
32,"locf",0.00606004283519133,0.00404963692751206,0.00121624582637251
32,"MAE",0.00466081344280353,0.00149578115181692,0.00044923473773775
32,"seadec",0.00557607558169898,0.00216432407365468,0.000650021265762525
32,"seasplit",0.00663461452632462,0.00247368944023283,0.00074293436949502
33,"ssa",0.00608767246532886,0.00116663804072078,0.000350381694288276
33,"stine",0.00665637236156391,0.00348666693465354,0.00104716649495506
33,"locf",0.00703748613179763,0.00520709468668945,0.00156387036506587
33,"MAE",0.00469269732807017,0.00152067139172161,0.000456710136382956
33,"seadec",0.00589898733487154,0.00294393993539198,0.000884166833620711
33,"seasplit",0.00668956030076742,0.0024171317988387,0.000725948156526701
34,"ssa",0.00624027624834429,0.00107726612714062,0.000323540222118679
34,"stine",0.00591238391849932,0.00199810631890389,0.00060010033356457
34,"locf",0.0057857049335816,0.00228864501912128,0.000687359139196854
34,"MAE",0.00481416377543654,0.00154871932896151,0.000465133900591204
34,"seadec",0.00553294439418377,0.00193301919006292,0.000580552420944159
34,"seasplit",0.00678521669440444,0.0022840933140794,0.000685992104976465
35,"ssa",0.0063540522139399,0.00113945486283928,0.000342217647180424
35,"stine",0.00577761699656505,0.00210804913062304,0.000633119956875646
35,"locf",0.00553898664662637,0.0020963676110313,0.000629611593112806
35,"MAE",0.00486158110616686,0.00150430085933514,0.000451793500139524
35,"seadec",0.00543084216277091,0.00178412524816777,0.000535834428036733
35,"seasplit",0.00700442316392236,0.00261442161253991,0.000785201101122732
36,"ssa",0.00652340575230102,0.00116366745090854,0.000349489523576267
36,"stine",0.00591608310173311,0.00236970573897408,0.000711704472857244
36,"locf",0.00612241853833694,0.00335619598209498,0.00100798156199623
36,"MAE",0.00494215047316457,0.00149156927056625,0.000447969764337914
36,"seadec",0.00562859519184154,0.00202480838897479,0.000608119887381508
36,"seasplit",0.0070815513993301,0.002726524217426,0.000818869384911808
37,"ssa",0.00673439838466834,0.00123746128655231,0.000371652360941763
37,"stine",0.00666571552006063,0.00198987863953453,0.000597629277301295
37,"locf",0.00684508559149569,0.00270719583009815,0.000813064402677892
37,"MAE",0.00503376367477417,0.00158198413657276,0.000475124471140236
37,"seadec",0.00604289361968505,0.00184734715877088,0.000554822151203702
37,"seasplit",0.00716624614581491,0.002672816417439,0.000802739077739313
38,"ssa",0.00687479121383565,0.00121623976891118,0.000365278806294192
38,"stine",0.00601302277271708,0.00172970220576008,0.000519489308863912
38,"locf",0.00570535257793146,0.00195949623585679,0.000588504392199333
38,"MAE",0.00507583039377549,0.0015475683081493,0.00046478820928999
38,"seadec",0.00568990376067396,0.00179366033750394,0.000538698144665358
38,"seasplit",0.00718602956134778,0.00270697640011216,0.000812998500274932
39,"ssa",0.00701102677380169,0.00120068487518476,0.000360607134509025
39,"stine",0.00591700318668481,0.00198685847317367,0.000596722217039574
39,"locf",0.00595461405261647,0.00239588982165906,0.000719568457173133
39,"MAE",0.00511155474310125,0.00153323641207888,0.000460483845938
39,"seadec",0.00575441553648087,0.00188171706489118,0.000565144621000349
39,"seasplit",0.00722995887523005,0.00269418861268338,0.000809157886074895
40,"ssa",0.00714802479987757,0.00123836635727725,0.000371924184937711
40,"stine",0.00637415965648413,0.002228696061987,0.00066935439699031
40,"locf",0.00611367152801864,0.0025130924297658,0.000754768448061543
40,"MAE",0.00516795816747025,0.00150501664999978,0.000452008476796445
40,"seadec",0.00584398813352072,0.00186434823887578,0.000559928162703382
40,"seasplit",0.00768524923998764,0.00273015279150942,0.000819959171024398
41,"ssa",0.00733074354919058,0.00117366314025363,0.000352491574294713
41,"stine",0.00636844140236212,0.00158051262374357,0.000474682525017904
41,"locf",0.00623012269958188,0.00205954680566242,0.000618553033628293
41,"MAE",0.00520645804950145,0.00149220631488634,0.000448161090748006
41,"seadec",0.00580752425726027,0.00174754614827113,0.000524848461053003
41,"seasplit",0.00770048436152676,0.00267713376152156,0.0008040357252698
42,"ssa",0.00746614560082385,0.0012111170728175,0.000363740283741373
42,"stine",0.00856470841739328,0.00698627575391116,0.00209821988481376
42,"locf",0.00932271193197967,0.00963914287414841,0.00289496749964047
42,"MAE",0.00533691960369592,0.00152571696388681,0.000458225495956523
42,"seadec",0.00744761200779133,0.00518942454849271,0.00155856341231482
42,"seasplit",0.00806509778867812,0.00272043232305466,0.000817039778644265
43,"ssa",0.00772026390310794,0.00123957784012765,0.000372288035077093
43,"stine",0.0072222836235503,0.00251141321567111,0.000754264122076078
43,"locf",0.00723837047997506,0.00348214604189676,0.00104580871472801
43,"MAE",0.00555700276008337,0.00170006450791504,0.000510588084642444
43,"seadec",0.00651724922421103,0.00219391341653654,0.000658907967318575
43,"seasplit",0.00842370574155819,0.0032526603923081,0.000976886248709296
44,"ssa",0.00787558274210756,0.00124532852749478,0.000374015165097448
44,"stine",0.00744156649553188,0.00293740790565692,0.000882205039503062
44,"locf",0.00729975364201831,0.00300422483085803,0.000902272469710151
44,"MAE",0.00568111981609334,0.00168878159714301,0.000507199436874399
44,"seadec",0.00686261764316239,0.00211269124164755,0.000634514143134855
44,"seasplit",0.00844628810267896,0.00322951452662767,0.000969934745886818
45,"ssa",0.00802636434652059,0.0012523886518527,0.00037613556426846
45,"stine",0.00817119712003127,0.00331340458679819,0.000995129828157866
45,"locf",0.00801995407451375,0.00493654836647981,0.00148261596160072
45,"MAE",0.00572928357269349,0.00169485768406542,0.000509024295619104
45,"seadec",0.00698950003148622,0.00253396085288797,0.000761035956230705
45,"seasplit",0.00847002422497,0.0032252773446158,0.000968662173794612
46,"ssa",0.00819206503037048,0.00126528175211179,0.000380007807548489
